Delta-PuZr_[-1-1-2],107.17220166715703,174.54354223493348,92.36844699950919
Zr3O_R3c_[7-7-1],96.79876032264049,145.0,68.745263831637
Alpha-Zr_[331],98.61584585275534,195.59975170293382,55.83129084956377
ZrO2_[001],100.57387704922785,109.39370081145174,83.12824197429202
PuO2_[-1-1-2],95.88013350011565,146.63230860168088,91.19684130466757
Alpha-Zr_[021],101.86223433809964,149.29496066430391,71.18631499668678
Kappa-PuZr2_[-1-10],64.85445837006512,86.61117013817855,91.30694695493682
Alpha-Zr_[1-3-1],112.00892821556681,198.09088823063013,80.34355550943054
PuO_[01-3],124.6577998973056,192.01121002939374,73.70902407066521
ZrO2_[031],115.2365437929235,195.26117464830025,84.1722720074236
PuO2_[011],94.86567839492221,96.89442178509455,61.602501708949134
Alpha-Zr_[1-11],113.28283188550682,116.30299991509668,85.91045092172868
ZrO2_[11-2],106.39063918707014,137.89377628756293,67.74307857154218
Delta-PuZr_[1-14],181.46349495146399,204.4184842337263,59.201132935882754
Delta-PuZr_[011],102.95386053781982,107.44764492439865,57.438063269999105
Alpha-Zr_[111],106.07544484940895,115.99326019377116,60.82397553779455
Alpha-Zr_[241],148.09510732932557,154.50889942006577,54.49357111601073
Delta-PuZr_[111],173.65244642287394,177.55280904564702,60.03600799021727
Alpha-Zr_[011],102.3443657324724,107.15609182406301,62.16285348756037
Kappa-PuZr2_[-1-1-2],64.6297145282261,127.83376334682782,3.7228219637480624
Zr3O_R3c_[7-7-4],104.67278984298233,115.12475827553651,55.879481521521456
Kappa-PuZr2_[111],64.02152174429293,105.91209079044864,72.33865028396477
Delta-PuZr_[001],123.23538646006753,127.31064370271639,92.08950364776614
Alpha-Zr_[351],155.46845069269602,304.63092423455635,55.531977580869665
Alpha-Zr_[010],53.11558130039633,102.49560768387357,89.93341274214654
Alpha-Zr_[001],103.15182483087767,106.18597748385912,60.03980285173636
Delta-PuZr_[013],124.04031602668546,199.33637975213549,73.26485381081426
Alpha-Zr_[1-10],108.01851693112621,173.05752252825954,91.573702505907
PuO_[11-2],108.08558389716227,175.66095562355372,90.5624167565998
ZrO2_[011],104.04849082074446,107.36468016169236,64.68539455324213
Delta-PuZr_[123],109.48059188732951,220.39370794182685,1.2570980658306188
Alpha-Zr_[131],82.95797165840955,119.71176649180757,69.67712581652859
Alpha-Zr_[3-31],174.20808789223713,193.06008680824044,61.92351264853638
Alpha-Zr_[031],112.01029716589935,194.06442229321684,72.6504621102819
PuO_[011],92.69876853734972,95.39543841377707,54.45675621730915
Zr3O_R3c_[1-10],54.161778721204925,98.97979591815695,89.03287043132326
